price,well below 2° - Flat ,1.5° - Flat,well below 2° -  Progressing,1.5° - Progressing
117,0.9,1,0.853763281,1
118,0.9,1,0.853225648,1
119,0.9,1,0.852193392,1
120,0.9,1,0.851171458,1
121,0.9,1,0.850159743,1
122,0.9,1,0.849158146,1
123,0.9,1,0.848166564,1
124,0.9,1,0.847184899,1
125,0.9,1,0.84621305,1
126,0.9,1,0.845250919,1
127,0.9,1,0.84429841,1
128,0.9,1,0.843355426,1
129,0.9,1,0.842421872,1
130,0.9,1,0.841497653,1
131,0.9,1,0.840582677,1
132,0.9,1,0.83967685,1
133,0.9,1,0.838780081,1
134,0.9,1,0.83789228,1
135,0.9,1,0.837013358,1
136,0.9,1,0.836143224,1
137,0.9,1,0.835281792,1
138,0.9,1,0.834428974,1
139,0.9,1,0.833584684,1
140,0.9,1,0.832748837,1
141,0.9,1,0.831921349,1
142,0.9,1,0.831102135,1
143,0.9,1,0.830291114,1
144,0.9,1,0.829488203,1
145,0.9,1,0.828693321,1
146,0.9,1,0.827906388,1
147,0.9,1,0.827127324,1
148,0.9,1,0.825856051,1
149,0.9,1,0.82459749,1
150,0.9,1,0.823351515,1
151,0.9,1,0.822118,1
152,0.9,1,0.82089682,1
153,0.9,1,0.819687852,1
154,0.9,1,0.818490973,1
155,0.9,1,0.817306064,1
156,0.9,1,0.816133003,1
157,0.9,1,0.814971673,1
158,0.9,1,0.813821956,1
159,0.9,1,0.812683737,1
160,0.9,1,0.811556899,1
161,0.9,1,0.81044133,1
162,0.9,1,0.809336917,1
163,0.9,1,0.808243548,1
164,0.9,1,0.807161112,1
165,0.9,1,0.806089501,1
166,0.9,1,0.805028606,1
167,0.9,1,0.80397832,1
168,0.9,1,0.802938537,1
169,0.9,1,0.801909152,1
170,0.9,1,0.80089006,1
171,0.9,1,0.799381159,1
172,0.9,1,0.797887348,1
173,0.9,1,0.796408474,1
174,0.9,1,0.79494439,1
175,0.9,1,0.793494946,1
176,0.9,1,0.792059996,1
177,0.9,1,0.790639396,1
178,0.9,1,0.789233002,1
179,0.9,1,0.787840672,1
180,0.9,1,0.786462266,1
181,0.9,1,0.785097643,1
182,0.9,1,0.783746667,1
183,0.9,1,0.7824092,1
184,0.9,1,0.781085108,1
185,0.9,1,0.779774257,1
186,0.9,1,0.778476514,1
187,0.9,1,0.777191749,1
188,0.9,1,0.775919832,1
189,0.9,1,0.774160633,1
190,0.9,1,0.772419027,1
191,0.9,1,0.770694837,1
192,0.9,1,0.768987888,1
193,0.9,1,0.767298009,1
194,0.9,1,0.765625029,1
195,0.9,1,0.763968779,1
196,0.9,1,0.762329091,1
197,0.9,1,0.7607058,1
198,0.9,1,0.759098742,1
199,0.9,1,0.757507755,1
200,0.9,1,0.755932677,1
201,0.9,1,0.754373351,1
202,0.9,1,0.752829617,1
203,0.9,1,0.751301321,1
204,0.9,1,0.749288308,1
205,0.9,1,0.747295425,1
206,0.9,1,0.74532247,1
207,0.9,1,0.743369246,1
208,0.8995,1,0.741435553,1
209,0.899005,1,0.739521198,1
210,0.89851495,1,0.737625986,1
211,0.898029801,1,0.735749726,1
212,0.897549502,1,0.733892229,1
213,0.897074007,1,0.732053306,1
214,0.896603267,1,0.730232773,1
215,0.896137235,1,0.728430446,1
216,0.895675862,1,0.726646141,1
217,0.895219104,1,0.72437968,1
218,0.894766913,1,0.722135883,1
219,0.894319244,1,0.719914524,1
220,0.893876051,1,0.717715379,1
221,0.893437291,1,0.715538225,1
222,0.893002918,1,0.713382843,1
223,0.892572889,1,0.711249014,1
224,0.89164716,1,0.709136524,1
225,0.890730688,1,0.707045159,1
226,0.889823381,1,0.704974707,1
227,0.888925147,1,0.70242496,1
228,0.888035896,1,0.699900711,1
229,0.887155537,1,0.697401704,1
230,0.886283982,1,0.694927687,1
231,0.885421142,1,0.69247841,1
232,0.88456693,1,0.690053626,1
233,0.883721261,1,0.687653089,1
234,0.882884048,1,0.685276558,1
235,0.881555208,1,0.682923793,1
236,0.880239656,1,0.680594555,1
237,0.878937259,1,0.677788609,1
238,0.877647887,1,0.675010723,1
239,0.876371408,1,0.672260616,1
240,0.875107694,1,0.66953801,1
241,0.873856617,1,0.66684263,1
242,0.872618051,1,0.664174203,1
243,0.87139187,1,0.661532461,1
244,0.869677951,1,0.658917137,1
245,0.867981172,1,0.656327965,1
246,0.86630136,1,0.653764686,1
247,0.864638347,1,0.651227039,1
248,0.862991963,1,0.648214769,1
249,0.861362044,1,0.645232621,1
250,0.859248423,1,0.642280295,1
251,0.857155939,1,0.639357492,1
252,0.855084379,1,0.636463917,1
253,0.853033536,1,0.633599278,1
254,0.8505032,1,0.630763285,1
255,0.847998168,1,0.627955652,1
256,0.845518187,1,0.625176095,1
257,0.843063005,1,0.622424335,1
258,0.840132375,1,0.619700091,1
259,0.837231051,1,0.61650309,1
260,0.83435874,1,0.613338059,1
261,0.831515153,1,0.610204679,1
262,0.828200002,1,0.607102632,1
263,0.824918002,1,0.604031606,1
264,0.821668821,1,0.60099129,1
265,0.818452133,1,0.597981377,1
266,0.814767612,1,0.595001563,1
267,0.811119936,1,0.592051547,1
268,0.807508736,1,0.589131032,1
269,0.803433649,1,0.586239722,1
270,0.799399313,1,0.583377324,1
271,0.795405319,1,0.580543551,1
272,0.791451266,1,0.577738116,1
273,0.787036754,1,0.574960734,1
274,0.782666386,1,0.572211127,1
275,0.778339722,1,0.569489016,1
276,0.773556325,1,0.566294126,1
277,0.768820762,1,0.563131184,1
278,0.764132554,1,0.559999873,1
279,0.759491229,1,0.556899874,1
280,0.754396316,1,0.553830875,1
281,0.749352353,1,0.550792566,1
282,0.74435883,1,0.547784641,1
283,0.739415241,1,0.544806794,1
284,0.734021089,1,0.541858726,1
285,0.728680878,1,0.538940139,1
286,0.723394069,1,0.536050738,1
287,0.717660129,1,0.53319023,1
288,0.711983527,1,0.530358328,1
289,0.706363692,1,0.527554745,1
290,0.700800055,1,0.524779197,1
291,0.694792055,1,0.522031405,1
292,0.688844134,1,0.519311091,1
293,0.682955693,1,0.51661798,1
294,0.677126136,1,0.5134518,1
295,0.670854874,1,0.510317282,1
296,0.664646326,1,0.50721411,1
297,0.658499862,1,0.504141969,1
298,0.651914864,1,0.501100549,1
299,0.645395715,1,0.498089543,1
300,0.638941758,1,0.495108648,1
301,0.63255234,1,0.492157561,1
302,0.626226817,1,0.489235986,1
303,0.619964549,1,0.486343626,1
304,0.613764903,1,0.48348019,1
305,0.607627254,1,0.480645388,1
306,0.601550982,1,0.477838934,1
307,0.595535472,1,0.475060545,1
308,0.589580117,1,0.472309939,1
309,0.583684316,1,0.46958684,1
310,0.577847473,1,0.466390971,1
311,0.572068998,1,0.463227062,1
312,0.566348308,1,0.460094791,1
313,0.560684825,1,0.456993843,1
314,0.555077977,1,0.453923905,1
315,0.549527197,1,0.450884666,1
316,0.544031925,1,0.447875819,1
317,0.538591606,1,0.444897061,1
318,0.53320569,1,0.44194809,1
319,0.527873633,1,0.439028609,1
320,0.522594897,1,0.436138323,1
321,0.517368948,1,0.43327694,1
322,0.512195258,1,0.430444171,1
323,0.507073306,1,0.427639729,1
324,0.502002572,1,0.424863332,1
325,0.496982547,1,0.422114698,1
326,0.492012721,1,0.418893551,1
327,0.487092594,1,0.415704616,1
328,0.482221668,1,0.41254757,1
329,0.477399451,1,0.409422094,1
330,0.472625457,1,0.406327873,1
331,0.467899202,1,0.403264594,1
332,0.46322021,1,0.400231948,1
333,0.458588008,1,0.397229629,1
334,0.454002128,1,0.394257333,1
335,0.449462107,1,0.391314759,1
336,0.444967486,1,0.388401612,1
337,0.440517811,1,0.385517596,1
338,0.436112633,1,0.38266242,1
339,0.431751506,1,0.379835795,1
340,0.427433991,1,0.377037437,1
341,0.423159652,1,0.374267063,1
342,0.418928055,1,0.371524392,1
343,0.414738774,1,0.368809148,1
344,0.410591387,1,0.366121057,1
345,0.406485473,1,0.363459846,1
346,0.402420618,1,0.360825248,1
347,0.398396412,1,0.358216995,1
348,0.394412448,1,0.355634826,1
349,0.390468323,1,0.353078477,1
350,0.38656364,1,0.350547693,1
351,0.382698004,1,0.348042216,1
352,0.378871024,1,0.345561793,1
353,0.375082313,1,0.343106175,1
354,0.37133149,1,0.340675114,1
355,0.367618175,1,0.338268363,1
356,0.363941994,1,0.335885679,1
357,0.360302574,1,0.333526822,1
358,0.356699548,0.999,0.331191554,1
359,0.353132552,0.99801,0.328879638,1
360,0.349601227,0.9970299,0.326590842,1
361,0.346105215,0.996059601,0.324324934,1
362,0.342644163,0.995099005,0.322081684,1
363,0.339217721,0.993648015,0.319860867,1
364,0.335825544,0.992211535,0.317662259,1
365,0.332467288,0.990789419,0.315485636,1
366,0.329142615,0.989381525,0.31333078,1
367,0.325851189,0.98798771,0.311197472,1
368,0.322592677,0.986607833,0.309085497,1
369,0.319366751,0.984741755,0.306994642,1
370,0.316173083,0.982894337,0.304924696,1
371,0.313011352,0.981065394,0.302875449,1
372,0.309881239,0.97925474,0.300846694,1
373,0.306782426,0.977462192,0.298838228,1
374,0.303714602,0.97568757,0.296849845,1
375,0.300677456,0.973930695,0.294881347,1
376,0.297670681,0.971691388,0.292932533,1
377,0.294693975,0.969474474,0.291003208,1
378,0.291747035,0.967279729,0.289093176,1
379,0.288829565,0.965106932,0.287202244,1
380,0.285941269,0.962955863,0.285330222,1
381,0.283081856,0.960826304,0.283476919,1
382,0.280251038,0.958218041,0.28164215,1
383,0.277448527,0.95563586,0.279825729,1
384,0.274674042,0.953079502,0.278027471,1
385,0.271927302,0.950548707,0.276247197,1
386,0.269208029,0.94804322,0.274484725,1
387,0.266515948,0.945562788,0.272739878,1
388,0.263850789,0.94310716,0.271012479,0.999
389,0.261212281,0.940676088,0.269302354,0.99801
390,0.258600158,0.937769327,0.26760933,0.9970299
391,0.256014157,0.934891634,0.265933237,0.996059601
392,0.253454015,0.932042718,0.264273905,0.995099005
393,0.250919475,0.92922229,0.262631166,0.994148015
394,0.24841028,0.926430068,0.261004854,0.993206535
